日期,股票代码,名称,涨跌幅
2019/12/9,'000001,上证指数,0.0846
2019/12/6,'000001,上证指数,0.4327
2019/12/5,'000001,上证指数,0.7419
2019/12/4,'000001,上证指数,-0.2282
2019/12/3,'000001,上证指数,0.3092
2019/12/2,'000001,上证指数,0.1332
2019/11/29,'000001,上证指数,-0.6129
2019/11/28,'000001,上证指数,-0.465
2019/11/27,'000001,上证指数,-0.133
2019/11/26,'000001,上证指数,0.0307
2019/11/25,'000001,上证指数,0.7237
2019/11/22,'000001,上证指数,-0.6319
2019/11/21,'000001,上证指数,-0.2547
2019/11/20,'000001,上证指数,-0.7818
2019/11/19,'000001,上证指数,0.8521
2019/11/18,'000001,上证指数,0.6176
2019/11/15,'000001,上证指数,-0.6367
2019/11/14,'000001,上证指数,0.1593
2019/11/13,'000001,上证指数,-0.3287
2019/11/12,'000001,上证指数,0.1666
2019/11/11,'000001,上证指数,-1.8288
2019/11/8,'000001,上证指数,-0.4878
2019/11/7,'000001,上证指数,0.004
2019/11/6,'000001,上证指数,-0.4334
2019/11/5,'000001,上证指数,0.5401
2019/11/4,'000001,上证指数,0.5846
2019/11/1,'000001,上证指数,0.995
2019/10/31,'000001,上证指数,-0.3492
2019/10/30,'000001,上证指数,-0.5029
2019/10/29,'000001,上证指数,-0.8682
2019/10/28,'000001,上证指数,0.85
2019/10/25,'000001,上证指数,0.4764
2019/10/24,'000001,上证指数,-0.0237
2019/10/23,'000001,上证指数,-0.4319
2019/10/22,'000001,上证指数,0.5022
2019/10/21,'000001,上证指数,0.0503
2019/10/18,'000001,上证指数,-1.3164
2019/10/17,'000001,上证指数,-0.0463
2019/10/16,'000001,上证指数,-0.4123
2019/10/15,'000001,上证指数,-0.5598
2019/10/14,'000001,上证指数,1.151
2019/10/11,'000001,上证指数,0.8802
2019/10/10,'000001,上证指数,0.7814
2019/10/9,'000001,上证指数,0.3874
2019/10/8,'000001,上证指数,0.2885
2019/9/30,'000001,上证指数,-0.9201
2019/9/27,'000001,上证指数,0.1051
2019/9/26,'000001,上证指数,-0.8914
2019/9/25,'000001,上证指数,-1.0018
2019/9/24,'000001,上证指数,0.2776
2019/9/23,'000001,上证指数,-0.9769
2019/9/20,'000001,上证指数,0.239
2019/9/19,'000001,上证指数,0.4562
2019/9/18,'000001,上证指数,0.2532
2019/9/17,'000001,上证指数,-1.7367
2019/9/16,'000001,上证指数,-0.0159
2019/9/12,'000001,上证指数,0.7453
2019/9/11,'000001,上证指数,-0.4101
2019/9/10,'000001,上证指数,-0.1169
2019/9/9,'000001,上证指数,0.838
2019/9/6,'000001,上证指数,0.4601
2019/9/5,'000001,上证指数,0.9621
2019/9/4,'000001,上证指数,0.9303
2019/9/3,'000001,上证指数,0.2068
2019/9/2,'000001,上证指数,1.3121
2019/8/30,'000001,上证指数,-0.162
2019/8/29,'000001,上证指数,-0.098
2019/8/28,'000001,上证指数,-0.2907
2019/8/27,'000001,上证指数,1.3489
2019/8/26,'000001,上证指数,-1.1686
2019/8/23,'000001,上证指数,0.4852
2019/8/22,'000001,上证指数,0.1078
2019/8/21,'000001,上证指数,0.0114
2019/8/20,'000001,上证指数,-0.1073
2019/8/19,'000001,上证指数,2.099
2019/8/16,'000001,上证指数,0.285
2019/8/15,'000001,上证指数,0.245
2019/8/14,'000001,上证指数,0.4167
2019/8/13,'000001,上证指数,-0.63
2019/8/12,'000001,上证指数,1.4503
2019/8/9,'000001,上证指数,-0.7085
2019/8/8,'000001,上证指数,0.9345
2019/8/7,'000001,上证指数,-0.3196
2019/8/6,'000001,上证指数,-1.5573
2019/8/5,'000001,上证指数,-1.6159
2019/8/2,'000001,上证指数,-1.4071
2019/8/1,'000001,上证指数,-0.8095
2019/7/31,'000001,上证指数,-0.6718
2019/7/30,'000001,上证指数,0.3853
2019/7/29,'000001,上证指数,-0.12
2019/7/26,'000001,上证指数,0.2445
2019/7/25,'000001,上证指数,0.4817
2019/7/24,'000001,上证指数,0.8046
2019/7/23,'000001,上证指数,0.4493
2019/7/22,'000001,上证指数,-1.2731
2019/7/19,'000001,上证指数,0.7936
2019/7/18,'000001,上证指数,-1.0409
2019/7/17,'000001,上证指数,-0.2017
2019/7/16,'000001,上证指数,-0.1553
2019/7/15,'000001,上证指数,0.3972
2019/7/12,'000001,上证指数,0.4382
2019/7/11,'000001,上证指数,0.0843
2019/7/10,'000001,上证指数,-0.4415
2019/7/9,'000001,上证指数,-0.175
2019/7/8,'000001,上证指数,-2.5803
2019/7/5,'000001,上证指数,0.1933
2019/7/4,'000001,上证指数,-0.3321
2019/7/3,'000001,上证指数,-0.9422
2019/7/2,'000001,上证指数,-0.0315
2019/7/1,'000001,上证指数,2.2164
2019/6/28,'000001,上证指数,-0.5978
2019/6/27,'000001,上证指数,0.6891
2019/6/26,'000001,上证指数,-0.1942
2019/6/25,'000001,上证指数,-0.8668
2019/6/24,'000001,上证指数,0.2055
2019/6/21,'000001,上证指数,0.4975
2019/6/20,'000001,上证指数,2.3756
2019/6/19,'000001,上证指数,0.9565
2019/6/18,'000001,上证指数,0.0878
2019/6/17,'000001,上证指数,0.196
2019/6/14,'000001,上证指数,-0.9883
2019/6/13,'000001,上证指数,0.0468
2019/6/12,'000001,上证指数,-0.5584
2019/6/11,'000001,上证指数,2.58
2019/6/10,'000001,上证指数,0.8605
2019/6/6,'000001,上证指数,-1.175
2019/6/5,'000001,上证指数,-0.0301
2019/6/4,'000001,上证指数,-0.9619
2019/6/3,'000001,上证指数,-0.2972
2019/5/31,'000001,上证指数,-0.2447
2019/5/30,'000001,上证指数,-0.305
2019/5/29,'000001,上证指数,0.1645
2019/5/28,'000001,上证指数,0.6062
2019/5/27,'000001,上证指数,1.3804
2019/5/24,'000001,上证指数,0.0168
2019/5/23,'000001,上证指数,-1.3552
2019/5/22,'000001,上证指数,-0.4909
2019/5/21,'000001,上证指数,1.2319
2019/5/20,'000001,上证指数,-0.4056
2019/5/17,'000001,上证指数,-2.4838
2019/5/16,'000001,上证指数,0.5796
2019/5/15,'000001,上证指数,1.9097
2019/5/14,'000001,上证指数,-0.6923
2019/5/13,'000001,上证指数,-1.2077
2019/5/10,'000001,上证指数,3.0957
2019/5/9,'000001,上证指数,-1.4791
2019/5/8,'000001,上证指数,-1.1152
2019/5/7,'000001,上证指数,0.6856
2019/5/6,'000001,上证指数,-5.5834
2019/4/30,'000001,上证指数,0.5172
2019/4/29,'000001,上证指数,-0.7744
2019/4/26,'000001,上证指数,-1.1981
